job_id,job_title,company,skills,description,location,experience,combined_text
1,data scientist,uplers,"python, tensorflow, computer vision, flink, recommender systems, vision, apache flink, system",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: python, tensorflow, computer vision, flink, recommender systems, vision, apache flink, system. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
2,business analyst / data scientist,cbre,"data visualization, tableau, analytics, business analysis, data analysis, data",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"business analyst / data scientist. Skills: data visualization, tableau, analytics, business analysis, data analysis, data. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
3,data scientist - ai/ml,trent limited,"artificial intelligence, machine learning, data science, azure bot framework, azure machine learning, predictive modeling, logistic regression, regression",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist - ai/ml. Skills: artificial intelligence, machine learning, data science, azure bot framework, azure machine learning, predictive modeling, logistic regression, regression. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
4,data scientist,fortune 500 it services company,not specified,shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,data scientist. Skills: not specified. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...
5,data scientist,foreign it consulting mnc,not specified,shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,data scientist. Skills: not specified. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...
6,not specified,not specified,not specified,shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,not specified. Skills: not specified. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...
7,staff data scientist (ai/ml),innovaccer,"cro, health insurance, enterprise applications, healthcare, life sciences, operations, analytics, python",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"staff data scientist (ai/ml). Skills: cro, health insurance, enterprise applications, healthcare, life sciences, operations, analytics, python. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
8,data scientist,ericsson,"wireless, computer science, networking, linux, wan, machine learning, predictive modeling, analytics",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: wireless, computer science, networking, linux, wan, machine learning, predictive modeling, analytics. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
9,data scientist,ibm,"project management, natural language processing, neural networks, machine learning, artificial intelligence, algorithms, python, team management",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"data scientist. Skills: project management, natural language processing, neural networks, machine learning, artificial intelligence, algorithms, python, team management. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
10,ey gds - aiml - data scientist,ey,"generative ai, natural language processing, aiml, machine learning, python, data science, artificial intelligence, pandas",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"ey gds - aiml - data scientist. Skills: generative ai, natural language processing, aiml, machine learning, python, data science, artificial intelligence, pandas. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
11,machine learning data scientist,hsbc,"trade, data analysis, interpersonal skills, data domain, data science, machine learning, programming, data quality",shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar...,hybrid - bengaluru,0-4 yrs,"machine learning data scientist. Skills: trade, data analysis, interpersonal skills, data domain, data science, machine learning, programming, data quality. Description: shift : 10:00am to 7:00pm istbachelors / masters degree in computer science (or similar..."
